trdar_cd,district_name,obs_count,avg_closure_rate,high_risk_pct,avg_store_count,avg_sales
3110949,한남IC,150,0.042,0.1733,6.0,194934557.0
3110397,도봉산입구,727,0.042,0.1926,10.0,762950568.0
3110228,장안근린공원,535,0.042,0.1907,9.4,409670775.0
3110297,경동고등학교,415,0.0419,0.1518,6.9,145184586.0
3111049,천호지구대(천호동자전거거리),333,0.0419,0.1892,7.9,284899781.0
3130288,신림현대종합상가,62,0.0419,0.1129,3.6,37336995.0
3111003,삼전역 4번,962,0.0419,0.2193,8.9,447874909.0
3130321,장신구 특화거리 상점가,158,0.0419,0.1203,4.3,77425092.0
3120233,몽촌토성역,500,0.0419,0.238,9.0,883378843.0
3110369,성신여대운정그린캠퍼스,553,0.0419,0.2369,8.5,335520646.0
3130172,모래내시장(서중시장),351,0.0419,0.1795,7.3,661654501.0
3110541,동교초등학교,503,0.0418,0.2266,8.4,265426682.0
3111065,천일초등학교,106,0.0418,0.1415,6.0,32023563.0
3120225,잠실새내역(신천),1258,0.0418,0.4992,32.3,2716465889.0
3120215,포스코사거리,1141,0.0417,0.3935,26.2,2117593685.0
3120170,삼호가든사거리,720,0.0417,0.2347,12.7,1345274465.0
3110998,은곡마을(은곡마을공원),70,0.0417,0.1286,2.7,418208536.0
3110585,마포경찰서,36,0.0417,0.1111,2.9,123436980.0
3130206,신정3동 골목시장,76,0.0417,0.0789,3.3,110773252.0
3110187,제기동역 6번,485,0.0417,0.1835,10.0,593745157.0
3120084,공릉역,633,0.0417,0.1785,6.9,567189736.0
3120214,영동대교남단교차로,405,0.0416,0.1654,7.1,545255077.0
3130125,장위전통시장,275,0.0416,0.1564,6.9,198400156.0
3110204,간데메공원,390,0.0416,0.1821,8.3,516230620.0
3120144,영중로,494,0.0416,0.1761,6.7,705792912.0
3111033,문정동성당,125,0.0416,0.144,3.9,289157269.0
3120065,회기역,688,0.0416,0.2209,7.9,384541869.0
3110247,먹골역 1번,588,0.0416,0.1667,5.7,250080800.0
3110618,강서고등학교,303,0.0415,0.2244,8.5,147754098.0
3111042,거여역 1번(거여공원),505,0.0415,0.196,8.1,337480476.0
3120154,장승배기역,643,0.0415,0.1617,7.8,451338202.0
3110451,증산역 4번,446,0.0415,0.157,6.7,216631942.0
3130072,성동용답상가시장,772,0.0415,0.215,8.3,606427384.0
3110406,도봉산역 1번,190,0.0414,0.2,13.6,840059049.0
3110788,영등포시장역 3번,54,0.0414,0.1111,7.0,9442650441.0
3110874,원신초등학교(구세군관악영문교회),167,0.0413,0.1916,7.7,59251901.0
3110419,수락산디자인거리,627,0.0413,0.2026,9.1,464039796.0
3120101,합정역,1016,0.0413,0.3848,18.7,1172374304.0
3120006,종각역,1098,0.0413,0.4536,27.6,2473701422.0
